CODGEO;NB_E101;NB_E102;NB_E107;NB_E108;NB_E109;NB_G101;NB_G102;NB_G103;NB_G104
02090;0;0;0;0;0;0;0;0;0
02091;0;0;0;0;0;0;0;0;0
02093;0;0;0;0;0;0;1;0;1
02094;0;0;0;0;0;0;0;0;0
02095;0;0;0;1;0;0;0;0;0
02096;0;0;0;0;0;0;0;0;0
02097;0;0;0;0;0;0;0;0;0
02098;1;0;0;0;0;0;0;0;0
02099;0;0;0;0;0;0;0;0;0
02100;0;0;0;0;0;0;0;0;0
02101;0;0;0;0;0;0;0;0;0
02102;0;0;0;0;0;0;0;0;0
02103;3;0;0;0;0;0;0;1;0
02104;0;0;0;0;0;0;0;0;0
02105;0;0;0;0;0;0;0;0;0
02106;0;0;0;0;0;0;0;2;0
02107;0;0;0;0;0;0;0;0;0
02108;0;0;0;0;0;0;0;0;0
02109;0;0;0;0;1;0;0;0;0
02110;0;0;0;0;0;0;0;0;1
02111;0;0;0;0;0;0;0;0;0
02112;0;0;0;0;0;0;0;0;0
02114;0;0;0;0;0;0;0;0;0
02115;0;0;0;0;0;0;0;0;0
02116;0;0;0;0;0;0;0;0;0
02117;0;0;0;0;0;0;0;0;0
02118;0;0;0;0;0;0;0;0;0
02119;0;0;0;0;0;0;0;0;0
02120;0;0;0;0;0;0;0;0;0
02121;0;0;0;0;0;0;0;0;1
02122;0;0;0;0;0;0;0;0;0
02123;0;0;0;0;0;0;0;0;0
02124;0;0;0;0;0;0;0;0;0
02125;0;0;0;0;0;0;0;0;0
02126;1;0;0;0;0;0;1;0;0
02127;0;0;0;0;0;0;0;0;0
02128;1;0;0;0;0;0;0;0;1
02129;0;0;0;0;0;0;0;0;0
02130;0;0;0;0;0;0;0;0;0
02131;0;0;0;0;0;0;0;0;0
02132;0;0;0;0;0;0;0;0;0
02133;0;0;0;0;0;0;0;0;0
02134;1;0;0;0;0;0;0;0;0
02135;0;0;0;0;0;0;0;0;0
02136;0;0;0;0;0;0;0;0;0
02137;0;0;0;0;0;0;0;0;0
02138;1;0;0;0;0;0;0;0;0
02139;0;0;0;0;0;0;0;0;0
02140;0;0;0;0;0;0;0;0;0
02141;0;0;0;0;0;1;0;0;1
02142;0;0;0;0;0;0;0;0;0
02143;0;0;0;0;0;0;0;0;0
02144;0;0;0;0;0;0;0;0;0
02145;0;0;0;0;0;0;0;0;0
02146;0;0;0;0;0;0;0;0;0
02148;0;0;0;0;0;0;0;0;0
02149;0;0;0;0;0;0;0;0;0
02150;0;0;0;0;0;0;0;0;0
02151;0;0;0;0;0;0;0;0;0
02152;0;0;0;0;0;0;0;0;0
02153;0;0;0;0;0;0;0;1;0
02154;0;0;0;0;0;0;0;0;0
02155;0;0;0;0;0;0;0;0;0
02156;0;0;0;0;0;0;0;0;0
02157;0;0;0;0;0;1;0;0;0
02158;0;0;0;0;0;0;1;0;0
02159;0;0;0;0;0;0;0;0;0
02160;0;0;0;0;0;0;0;0;0
02162;0;0;0;0;0;0;0;0;0
02163;4;0;0;0;0;0;0;0;1
02164;0;0;0;0;0;0;0;0;0
02165;0;0;0;0;0;0;0;0;0
02166;2;0;0;0;0;0;0;0;0
02167;0;0;0;0;0;0;0;0;0
02168;18;0;0;1;0;5;3;0;2
02169;0;0;0;0;0;0;0;0;0
02170;0;0;0;0;0;0;0;0;0
02171;0;0;0;0;0;0;0;0;0
